Category,Country,Year,Value
FE|Transport|Freight|Road|Heavy,SI,2015,0.016154779287356254
FE|Transport|Freight|Road|Heavy,SK,2015,0.014234448911444689
FE|Transport|Freight|Road|Heavy,MT,2015,0.0
FE|Transport|Freight|Road|Heavy,AT,2020,0.03632494428074832
FE|Transport|Freight|Road|Heavy,BE,2020,0.16060071393916853
FE|Transport|Freight|Road|Heavy,BG,2020,0.038240517514303504
FE|Transport|Freight|Road|Heavy,CY,2020,0.002057467547151629
FE|Transport|Freight|Road|Heavy,CZ,2020,0.0736904468612057
FE|Transport|Freight|Road|Heavy,DE,2020,0.41506451632253666
FE|Transport|Freight|Road|Heavy,DK,2020,0.01700366857933453
FE|Transport|Freight|Road|Heavy,EE,2020,0.0030980258468606844
FE|Transport|Freight|Road|Heavy,EL,2020,0.027858583569480167
FE|Transport|Freight|Road|Heavy,ES,2020,0.17086440262266114
FE|Transport|Freight|Road|Heavy,EU27_2020,2020,2.45030195434416
FE|Transport|Freight|Road|Heavy,FI,2020,0.03809862320070682
FE|Transport|Freight|Road|Heavy,FR,2020,0.2381696053720168
FE|Transport|Freight|Road|Heavy,HR,2020,0.009790707638170344
FE|Transport|Freight|Road|Heavy,HU,2020,0.04973395691563412
FE|Transport|Freight|Road|Heavy,IE,2020,0.01653068753401248
FE|Transport|Freight|Road|Heavy,IT,2020,0.44611572194794197
FE|Transport|Freight|Road|Heavy,LT,2020,0.18079700457442843
FE|Transport|Freight|Road|Heavy,LU,2020,0.0006858225157172095
FE|Transport|Freight|Road|Heavy,LV,2020,0.005675772543866841
FE|Transport|Freight|Road|Heavy,NL,2020,0.014993499136715131
FE|Transport|Freight|Road|Heavy,PL,2020,0.2631193555127652
FE|Transport|Freight|Road|Heavy,PT,2020,0.02982145490756758
FE|Transport|Freight|Road|Heavy,RO,2020,0.13163062491318084
FE|Transport|Freight|Road|Heavy,SE,2020,0.05046707753588356
FE|Transport|Freight|Road|Heavy,SI,2020,0.01591581217509349
FE|Transport|Freight|Road|Heavy,SK,2020,0.014023887993804541
FE|Transport|Freight|Road|Heavy,MT,2020,0.0
FE|Transport|Freight|Road|Heavy,AT,2025,0.0319350199616655
FE|Transport|Freight|Road|Heavy,BE,2025,0.14119187536436933
FE|Transport|Freight|Road|Heavy,BG,2025,0.03361909327995654
FE|Transport|Freight|Road|Heavy,CY,2025,0.0018088194900160942
FE|Transport|Freight|Road|Heavy,CZ,2025,0.06478484518264964
FE|Transport|Freight|Road|Heavy,DE,2025,0.36490334332499574
FE|Transport|Freight|Road|Heavy,DK,2025,0.01494874957840971
FE|Transport|Freight|Road|Heavy,EE,2025,0.0027236247493347423
FE|Transport|Freight|Road|Heavy,EL,2025,0.024491831715391908
FE|Transport|Freight|Road|Heavy,ES,2025,0.15021518178582946
FE|Transport|Freight|Road|Heavy,EU27_2020,2025,2.15417926643759
FE|Transport|Freight|Road|Heavy,FI,2025,0.03349434710823127
FE|Transport|Freight|Road|Heavy,FR,2025,0.2093864492408428
FE|Transport|Freight|Road|Heavy,HR,2025,0.008607485849042563
FE|Transport|Freight|Road|Heavy,HU,2025,0.043723533189702346
FE|Transport|Freight|Road|Heavy,IE,2025,0.01453292900599236
FE|Transport|Freight|Road|Heavy,IT,2025,0.39220196390420586
FE|Transport|Freight|Road|Heavy,LT,2025,0.15894741380659752
FE|Transport|Freight|Road|Heavy,LU,2025,0.0006029398300053647
FE|Transport|Freight|Road|Heavy,LV,2025,0.004989846869010161
FE|Transport|Freight|Road|Heavy,NL,2025,0.013181512145635371
FE|Transport|Freight|Road|Heavy,PL,2025,0.23132098443586702
FE|Transport|Freight|Road|Heavy,PT,2025,0.026217487090924703
FE|Transport|Freight|Road|Heavy,RO,2025,0.11572286530379604
FE|Transport|Freight|Road|Heavy,SE,2025,0.044368055076949464
FE|Transport|Freight|Road|Heavy,SI,2025,0.01399236226184952
FE|Transport|Freight|Road|Heavy,SK,2025,0.012329079972179467
FE|Transport|Freight|Road|Heavy,MT,2025,0.0
FE|Transport|Freight|Road|Heavy,AT,2030,0.027156574745858277
FE|Transport|Freight|Road|Heavy,BE,2030,0.12006529889265907
FE|Transport|Freight|Road|Heavy,BG,2030,0.02858865974222197
FE|Transport|Freight|Road|Heavy,CY,2030,0.0015381653664645308
FE|Transport|Freight|Road|Heavy,CZ,2030,0.05509107220579071
FE|Transport|Freight|Road|Heavy,DE,2030,0.3103027626071358
FE|Transport|Freight|Road|Heavy,DK,2030,0.012711964350437468
FE|Transport|Freight|Road|Heavy,EE,2030,0.0023160880805386855
FE|Transport|Freight|Road|Heavy,EL,2030,0.020827112663164754
FE|Transport|Freight|Road|Heavy,ES,2030,0.12773844566329867
FE|Transport|Freight|Road|Heavy,EU27_2020,2030,1.83184887108928
FE|Transport|Freight|Road|Heavy,FI,2030,0.028482579372120953
FE|Transport|Freight|Road|Heavy,FR,2030,0.17805590121454418
FE|Transport|Freight|Road|Heavy,HR,2030,0.007319545536969538
FE|Transport|Freight|Road|Heavy,HU,2030,0.03718116972040376
FE|Transport|Freight|Road|Heavy,IE,2030,0.01235836311676758
FE|Transport|Freight|Road|Heavy,IT,2030,0.3335166835975732
FE|Transport|Freight|Road|Heavy,LT,2030,0.13516407157036942
FE|Transport|Freight|Road|Heavy,LU,2030,0.0005127217888215102
FE|Transport|Freight|Road|Heavy,LV,2030,0.004243214804040293
FE|Transport|Freight|Road|Heavy,NL,2030,0.011209159107339944
FE|Transport|Freight|Road|Heavy,PL,2030,0.1967083662906383
FE|Transport|Freight|Road|Heavy,PT,2030,0.022294557782895453
FE|Transport|Freight|Road|Heavy,RO,2030,0.09840722333036955
FE|Transport|Freight|Road|Heavy,SE,2030,0.03772925163259228
FE|Transport|Freight|Road|Heavy,SI,2030,0.011898681512996489
FE|Transport|Freight|Road|Heavy,SK,2030,0.01048427657831639
FE|Transport|Freight|Road|Heavy,MT,2030,0.0
FE|Transport|Freight|Road|Heavy,AT,2035,0.02242342928785502
FE|Transport|Freight|Road|Heavy,BE,2035,0.09913900279545838
FE|Transport|Freight|Road|Heavy,BG,2035,0.023605914816706812
FE|Transport|Freight|Road|Heavy,CY,2035,0.0012700770495073321
FE|Transport|Freight|Road|Heavy,CZ,2035,0.045489196393851794
FE|Transport|Freight|Road|Heavy,DE,2035,0.2562197965046517
FE|Transport|Freight|Road|Heavy,DK,2035,0.010496383891906012
FE|Transport|Freight|Road|Heavy,EE,2035,0.0019124148676490861
FE|Transport|Freight|Road|Heavy,EL,2035,0.0171971352220659
FE|Transport|Freight|Road|Heavy,ES,2035,0.10547478945621946
FE|Transport|Freight|Road|Heavy,EU27_2020,2035,1.51257417444268
FE|Transport|Freight|Road|Heavy,FI,2035,0.02351832329605112
FE|Transport|Freight|Road|Heavy,FR,2035,0.14702236742056565
FE|Transport|Freight|Road|Heavy,HR,2035,0.006043814925242111
FE|Transport|Freight|Road|Heavy,HU,2035,0.030700827989817246
FE|Transport|Freight|Road|Heavy,IE,2035,0.010204412156387184
FE|Transport|Freight|Road|Heavy,IT,2035,0.2753877409414705
FE|Transport|Freight|Road|Heavy,LT,2035,0.11160619590211743
FE|Transport|Freight|Road|Heavy,LU,2035,0.000423359016502444
FE|Transport|Freight|Road|Heavy,LV,2035,0.0035036608262272954
FE|Transport|Freight|Road|Heavy,NL,2035,0.009255504015950577
FE|Transport|Freight|Road|Heavy,PL,2035,0.16242387646919007
FE|Transport|Freight|Road|Heavy,PT,2035,0.01840881792446959
FE|Transport|Freight|Road|Heavy,RO,2035,0.08125573399492281
FE|Transport|Freight|Road|Heavy,SE,2035,0.03115338417987159
FE|Transport|Freight|Road|Heavy,SI,2035,0.009824848900212511
FE|Transport|Freight|Road|Heavy,SK,2035,0.008656961958136745
FE|Transport|Freight|Road|Heavy,MT,2035,0.0
FE|Transport|Freight|Road|Heavy,AT,2040,0.01877987041859459
FE|Transport|Freight|Road|Heavy,BE,2040,0.08303001302908619
FE|Transport|Freight|Road|Heavy,BG,2040,0.019770215147700217
FE|Transport|Freight|Road|Heavy,CY,2040,0.0010637035979281413
FE|Transport|Freight|Road|Heavy,CZ,2040,0.038097705875221904
FE|Transport|Freight|Road|Heavy,DE,2040,0.21458691778434572
FE|Transport|Freight|Road|Heavy,DK,2040,0.00879083778057904
FE|Transport|Freight|Road|Heavy,EE,2040,0.0016016686359608607
FE|Transport|Freight|Road|Heavy,EL,2040,0.0144027912455107
FE|Transport|Freight|Road|Heavy,ES,2040,0.0883363045405901
FE|Transport|Freight|Road|Heavy,EU27_2020,2040,1.26679762626368
FE|Transport|Freight|Road|Heavy,FI,2040,0.019696856278877573
FE|Transport|Freight|Road|Heavy,FR,2040,0.12313286131879356
FE|Transport|Freight|Road|Heavy,HR,2040,0.005061761948761771
