Category,Country,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
FE|Transport|Freight|Rail,AT,0.0063134944055525406,0.006146923089346536,0.005161749934731826,0.006325808152914352,0.00648712979878128,0.006489038961190652,0.006266978262411031,0.006250889330320613,0.006207731203066802,0.006166426305882196
FE|Transport|Freight|Rail,BE,0.004396978939884269,0.0042809717777170745,0.0035948563977508644,0.004405554743447716,0.004517905817806873,0.004519235437565376,0.004364583171610842,0.0043533781730755484,0.00432332106611859,0.004294554625322338
FE|Transport|Freight|Rail,BG,0.0011151305943667739,0.001085709681174565,0.0009117019677134578,0.0011173055288059939,0.0011457992109547579,0.0011461364196818987,0.0011069146095227197,0.001104072877313543,0.0010964500071556204,0.0010891544665898095
FE|Transport|Freight|Rail,CY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FE|Transport|Freight|Rail,CZ,0.0044942798286829915,0.004375705540282033,0.003674407090939797,0.004503045406480132,0.00461788270138801,0.004619241744345042,0.004461167173408416,0.004449714219099085,0.004418991977452692,0.00438958896316011
FE|Transport|Freight|Rail,DE,0.03599764106674158,0.035047901656578326,0.029430741439057537,0.03606785034059905,0.03698765771369285,0.03699854318198284,0.03573242004696138,0.035640685808307634,0.03539461118240331,0.0351591031154535
FE|Transport|Freight|Rail,DK,0.0007525925888717975,0.0007327366533085998,0.0006153002595634166,0.00075406043447527,0.0007732905893317113,0.0007735181687652153,0.0007470476873731263,0.000745129825365763,0.0007399852121556463,0.0007350615110309717
FE|Transport|Freight|Rail,EE,0.0006595468409826318,0.000642145766657553,0.0005392284596626227,0.0006608332115171488,0.0006776858726710221,0.0006778853156347977,0.0006546874757416178,0.0006530067259613239,0.0006484981599177803,0.0006441831937983425
FE|Transport|Freight|Rail,EL,0.00010155602970829049,9.887663847888057e-05,8.302958647708102e-05,0.00010175410310672364,0.00010434905050159954,0.00010437976042892499,0.00010080779196365266,0.00010054899264264397,9.985477043034781e-05,9.919035844292472e-05
FE|Transport|Freight|Rail,ES,0.002992498763667044,0.0029135465343959645,0.0024465896864434766,0.0029983352895890307,0.00307479925626095,0.003075704169734012,0.002970450830795019,0.002962824925662838,0.0029423686404183897,0.002922790757582282
FE|Transport|Freight|Rail,EU27_2020,0.121695611633268,0.118484870179467,0.0994951884098796,0.12193296497841,0.125042516536133,0.125079316550862,0.12079899081969,0.120488868990874,0.119656975532874,0.118860803967107
FE|Transport|Freight|Rail,FI,0.0029394513403277877,0.002861898681335758,0.002403219483451251,0.0029451844033293643,0.003020292908652563,0.003021181780906603,0.00291779424672461,0.002910303524477984,0.00289020986368521,0.0028709790340380637
FE|Transport|Freight|Rail,FR,0.01006511030748605,0.009799558686785777,0.008228974183780545,0.010084741151759252,0.010341923633651978,0.010344967261952073,0.009990953258833824,0.009965303932831841,0.00989650030625508,0.009830651139423349
FE|Transport|Freight|Rail,HR,0.0007352883491728953,0.0007158889579253235,0.0006011527601916207,0.0007367224448397633,0.0007555104438551781,0.000755732790591568,0.0007298709406977519,0.0007279971757813984,0.0007229708518309188,0.000718160360570023
FE|Transport|Freight|Rail,HU,0.003788777465877051,0.003688816713754145,0.0030976065837651965,0.003796167042160496,0.0038929774259760376,0.0038941231292982685,0.0037608627638731867,0.003751207669651421,0.003725308139295477,0.0037005207468261384
FE|Transport|Freight|Rail,IE,2.836760606376571e-05,2.761917275946133e-05,2.319262192097024e-05,2.8422933828691166e-05,2.9147779469717887e-05,2.9156357661708234e-05,2.815860110716298e-05,2.808631079403207e-05,2.7892393974954944e-05,2.7706804034333987e-05
FE|Transport|Freight|Rail,IT,0.006335904814342919,0.006168742235826514,0.005180072106049397,0.006348262270639022,0.006510156544562361,0.006512072483743406,0.006289223557285693,0.006273077515847902,0.006229766194307021,0.0061883146810693245
FE|Transport|Freight|Rail,LT,0.004372582798669432,0.004257219289143939,0.003574910742898831,0.004381111020355043,0.004492838727462916,0.004494160969976309,0.004340366774658683,0.004329223945792683,0.004299333607300131,0.004270726773852812
FE|Transport|Freight|Rail,LU,6.042300091581926e-05,5.882883797765098e-05,4.9400284691665216e-05,6.054084905511048e-05,6.208477027049735e-05,6.210304181943679e-05,5.997782035825546e-05,5.982384199128662e-05,5.9410799166652365e-05,5.9015492593129735e-05
FE|Transport|Freight|Rail,LV,0.004259112374414345,0.004146742598106071,0.0034821402552149307,0.004267419285040254,0.00437624760958402,0.004377535539329451,0.004227732370230007,0.00421687870261653,0.004187764031400287,0.004159899557715453
FE|Transport|Freight|Rail,MT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FE|Transport|Freight|Rail,NL,0.0018963744653629896,0.0018463416989702352,0.0015504267754170664,0.001900073126448257,0.0019485290575508997,0.0019491025096854545,0.0018824024840140953,0.0018775698765812932,0.001864606537225986,0.0018521998496954732
FE|Transport|Freight|Rail,PL,0.01554459709476377,0.015134478097004044,0.012708861034035757,0.015574915050109975,0.01597210871602344,0.015976809307888393,0.015430068648694157,0.015390455725807805,0.0152841951264581,0.01518249740669602
FE|Transport|Freight|Rail,PT,0.0007803928428142947,0.0007598034426128786,0.0006380290290459731,0.0007819149096273942,0.0008018554132120418,0.0008020913992736964,0.0007746431164581529,0.0007726544099439213,0.000767319758251109,0.0007622141789846257
FE|Transport|Freight|Rail,RO,0.003909623467708714,0.0038064743897094707,0.0031964071531485464,0.003917248740270741,0.0040171469665170574,0.004018329212937167,0.003880818404589722,0.003870855353634018,0.0038441297376288056,0.003818551732012422
FE|Transport|Freight|Rail,SE,0.0061949178122059755,0.006031474947211964,0.005064804775102151,0.006207000289510398,0.006365292080597835,0.006367165386164687,0.006149275309783066,0.006133488551201534,0.006091140996251467,0.0060506118650186565
FE|Transport|Freight|Rail,SI,0.00145469083895009,0.0014163111791053566,0.0011893176521075046,0.0014575280467354677,0.0014946981312073228,0.0014951380208925878,0.0014439730647755008,0.001440266017518147,0.001430321963035871,0.001420804910880827
FE|Transport|Freight|Rail,SK,0.002404721966025735,0.0023412772748198445,0.001966038560240905,0.0024094121006584665,0.0024708572656483097,0.0024715844389833317,0.002387004615854519,0.002380876566010411,0.002364438237257241,0.0023487057779908007
FE|Transport|Freight|Road|Heavy,AT,2967104352187.572,3254715830948.57,3687034321750.257,3632494428074.8315,3193501996166.5503,2715657474585.828,2242342928785.502,1877987041859.4592,1662416541631.891,0.011786416671404969
FE|Transport|Freight|Road|Heavy,BE,13118232848766.85,14389827609356.66,16301204478519.594,16060071393916.852,14119187536436.934,12006529889265.906,9913900279545.838,8303001302908.619,7349915842592.59,0.052110387770515285
FE|Transport|Freight|Road|Heavy,BG,3123572745759.9707,3426351236096.257,3881467772311.315,3824051751430.35,3361909327995.6543,2858865974222.1973,2360591481670.681,1977021514770.0215,1750083038944.5146,0.012407965988061122
