Category,Country,Year,Value
FE|Transport|Freight|Road|Heavy,SI,2015,0.01276983810592601
FE|Transport|Freight|Road|Heavy,SK,2015,0.023478094627641943
FE|Transport|Freight|Road|Heavy,EU27,2015,2.48709188223221
FE|Transport|Freight|Road|Heavy,AT,2020,0.06595344551130919
FE|Transport|Freight|Road|Heavy,BE,2020,0.07291556460246405
FE|Transport|Freight|Road|Heavy,BG,2020,0.015447201733499855
FE|Transport|Freight|Road|Heavy,CY,2020,0.0009432548446080783
FE|Transport|Freight|Road|Heavy,CZ,2020,0.0725828988313746
FE|Transport|Freight|Road|Heavy,DE,2020,0.6546834301979646
FE|Transport|Freight|Road|Heavy,DK,2020,0.028366424337328357
FE|Transport|Freight|Road|Heavy,EE,2020,0.003861449520114321
FE|Transport|Freight|Road|Heavy,EL,2020,0.023557509013478244
FE|Transport|Freight|Road|Heavy,ES,2020,0.29119203464059473
FE|Transport|Freight|Road|Heavy,FI,2020,0.04062452635810566
FE|Transport|Freight|Road|Heavy,FR,2020,0.3931618135712472
FE|Transport|Freight|Road|Heavy,HR,2020,0.01302730388810651
FE|Transport|Freight|Road|Heavy,HU,2020,0.0367995718170982
FE|Transport|Freight|Road|Heavy,IE,2020,0.013538233595602552
FE|Transport|Freight|Road|Heavy,IT,2020,0.21456801869965667
FE|Transport|Freight|Road|Heavy,LT,2020,0.012165460919967582
FE|Transport|Freight|Road|Heavy,LU,2020,0.0029266165937616717
FE|Transport|Freight|Road|Heavy,LV,2020,0.008631062558772431
FE|Transport|Freight|Road|Heavy,MT,2020,0.0004613822466802065
FE|Transport|Freight|Road|Heavy,NL,2020,0.07992821520315149
FE|Transport|Freight|Road|Heavy,PL,2020,0.245837197529023
FE|Transport|Freight|Road|Heavy,PT,2020,0.019551483229979055
FE|Transport|Freight|Road|Heavy,RO,2020,0.030425583350780813
FE|Transport|Freight|Road|Heavy,SE,2020,0.0734405308403858
FE|Transport|Freight|Road|Heavy,SI,2020,0.012580942220568759
FE|Transport|Freight|Road|Heavy,SK,2020,0.023130798488536494
FE|Transport|Freight|Road|Heavy,EU27,2020,2.45030195434416
FE|Transport|Freight|Road|Heavy,AT,2025,0.05798287211855531
FE|Transport|Freight|Road|Heavy,BE,2025,0.0641036086139271
FE|Transport|Freight|Road|Heavy,BG,2025,0.01358038409910616
FE|Transport|Freight|Road|Heavy,CY,2025,0.0008292610735665006
FE|Transport|Freight|Road|Heavy,CZ,2025,0.06381114600316033
